Semester,Year,Hostel,Total_Severe_Chronic_Students,Booked_Severe_Chronic_Students,Room_Full_Rejections,Unbooked_Severe_Chronic_Students,Graduating_Students,Current_Occupancy,Actual_Demand
1,2015/2016,KOLEJ KEDIAMAN KASTURI (MALE),2,1,0,1,1,12,15
1,2015/2016,KOLEJ KEDIAMAN LEKIU (FEMALE),1,1,0,0,1,10,13
2,2015/2016,KOLEJ KEDIAMAN KASTURI (MALE),3,2,1,1,2,14,16
2,2015/2016,KOLEJ KEDIAMAN LEKIU (FEMALE),2,1,0,1,1,11,14
3,2015/2016,KOLEJ KEDIAMAN KASTURI (MALE),1,1,0,0,3,11,13
3,2015/2016,KOLEJ KEDIAMAN LEKIU (FEMALE),3,2,1,1,2,12,15
1,2016/2017,KOLEJ KEDIAMAN KASTURI (MALE),3,2,1,1,2,15,18
1,2016/2017,KOLEJ KEDIAMAN LEKIU (FEMALE),2,1,0,1,1,13,16
2,2016/2017,KOLEJ KEDIAMAN KASTURI (MALE),4,3,1,1,3,16,19
2,2016/2017,KOLEJ KEDIAMAN LEKIU (FEMALE),3,2,1,1,2,14,17
3,2016/2017,KOLEJ KEDIAMAN KASTURI (MALE),2,1,0,1,4,13,16
3,2016/2017,KOLEJ KEDIAMAN LEKIU (FEMALE),4,3,2,1,3,15,18
1,2017/2018,KOLEJ KEDIAMAN KASTURI (MALE),4,3,2,1,3,17,20
1,2017/2018,KOLEJ KEDIAMAN LEKIU (FEMALE),3,2,1,1,2,15,18
2,2017/2018,KOLEJ KEDIAMAN KASTURI (MALE),5,4,2,1,4,18,21
2,2017/2018,KOLEJ KEDIAMAN LEKIU (FEMALE),4,3,1,1,3,16,19
3,2017/2018,KOLEJ KEDIAMAN KASTURI (MALE),3,2,1,1,5,15,18
3,2017/2018,KOLEJ KEDIAMAN LEKIU (FEMALE),5,4,2,1,4,17,20
1,2018/2019,KOLEJ KEDIAMAN KASTURI (MALE),5,4,3,1,4,19,22
1,2018/2019,KOLEJ KEDIAMAN LEKIU (FEMALE),4,3,2,1,3,17,20
2,2018/2019,KOLEJ KEDIAMAN KASTURI (MALE),6,5,3,1,5,20,23
2,2018/2019,KOLEJ KEDIAMAN LEKIU (FEMALE),5,4,2,1,4,18,21
3,2018/2019,KOLEJ KEDIAMAN KASTURI (MALE),4,3,2,1,6,17,20
3,2018/2019,KOLEJ KEDIAMAN LEKIU (FEMALE),6,5,3,1,5,19,22
1,2019/2020,KOLEJ KEDIAMAN KASTURI (MALE),6,5,4,1,5,21,24
1,2019/2020,KOLEJ KEDIAMAN LEKIU (FEMALE),5,4,3,1,4,19,22
2,2019/2020,KOLEJ KEDIAMAN KASTURI (MALE),7,6,4,1,6,22,25
2,2019/2020,KOLEJ KEDIAMAN LEKIU (FEMALE),6,5,3,1,5,20,23
3,2019/2020,KOLEJ KEDIAMAN KASTURI (MALE),5,4,3,1,7,19,22
3,2019/2020,KOLEJ KEDIAMAN LEKIU (FEMALE),7,6,4,1,6,21,24
1,2020/2021,KOLEJ KEDIAMAN KASTURI (MALE),7,6,5,1,6,23,26
1,2020/2021,KOLEJ KEDIAMAN LEKIU (FEMALE),6,5,4,1,5,21,24
2,2020/2021,KOLEJ KEDIAMAN KASTURI (MALE),8,7,5,1,7,24,27
2,2020/2021,KOLEJ KEDIAMAN LEKIU (FEMALE),7,6,4,1,6,22,25
3,2020/2021,KOLEJ KEDIAMAN KASTURI (MALE),6,5,4,1,8,21,24
3,2020/2021,KOLEJ KEDIAMAN LEKIU (FEMALE),8,7,5,1,7,23,26
1,2021/2022,KOLEJ KEDIAMAN KASTURI (MALE),8,7,6,1,7,25,28
1,2021/2022,KOLEJ KEDIAMAN LEKIU (FEMALE),7,6,5,1,6,23,26
2,2021/2022,KOLEJ KEDIAMAN KASTURI (MALE),9,8,6,1,8,26,29
2,2021/2022,KOLEJ KEDIAMAN LEKIU (FEMALE),8,7,5,1,7,24,27
3,2021/2022,KOLEJ KEDIAMAN KASTURI (MALE),7,6,5,1,9,23,26
3,2021/2022,KOLEJ KEDIAMAN LEKIU (FEMALE),9,8,6,1,8,25,28
1,2022/2023,KOLEJ KEDIAMAN KASTURI (MALE),9,8,7,1,8,27,30
1,2022/2023,KOLEJ KEDIAMAN LEKIU (FEMALE),8,7,6,1,7,25,28
2,2022/2023,KOLEJ KEDIAMAN KASTURI (MALE),10,9,7,1,9,28,30
2,2022/2023,KOLEJ KEDIAMAN LEKIU (FEMALE),9,8,6,1,8,26,29
3,2022/2023,KOLEJ KEDIAMAN KASTURI (MALE),8,7,6,1,10,25,28
3,2022/2023,KOLEJ KEDIAMAN LEKIU (FEMALE),10,9,7,1,9,27,30
1,2023/2024,KOLEJ KEDIAMAN KASTURI (MALE),5,3,3,2,2,5,17
1,2023/2024,KOLEJ KEDIAMAN LEKIU (FEMALE),4,2,1,2,1,4,12
2,2023/2024,KOLEJ KEDIAMAN KASTURI (MALE),6,4,1,2,3,6,15
2,2023/2024,KOLEJ KEDIAMAN LEKIU (FEMALE),7,5,2,2,3,8,18
3,2023/2024,KOLEJ KEDIAMAN KASTURI (MALE),3,2,0,1,5,9,11
3,2023/2024,KOLEJ KEDIAMAN LEKIU (FEMALE),7,5,2,2,3,8,18
1,2024/2025,KOLEJ KEDIAMAN KASTURI (MALE),3,2,0,1,5,9,11
1,2024/2025,KOLEJ KEDIAMAN LEKIU (FEMALE),4,3,1,1,6,10,13
1,2024/2025,KOLEJ KEDIAMAN LEKIR (FEMALE),2,1,1,1,2,3,6
